序号,文件名,A1_pred,A2_pred,B1_pred,B2_pred,B3_pred,B4_pred,C1_pred,C2_pred,C3_pred,best_model
4,黑龙江省发展和改革委员会关于推广运用政府和...(FBM-CLI.12.7798317).txt,1,1,1,1,1,1,1,1,0,LinearSVC
18,黑龙江省公共服务领域政府和社会资本合作(PPP)操...(FBM-CLI.12.1294505).txt,1,1,1,1,1,1,1,1,0,LinearSVC
21,黑龙江省财政厅关于印发黑龙江省公共服务领域...(FBM-CLI.14.1526337).txt,1,1,1,1,1,1,1,1,0,LinearSVC
27,鹤岗市人民政府办公室关于印发鹤岗市进一步推...(FBM-CLI.12.5570915).txt,1,1,1,1,1,1,1,0,1,LinearSVC
36,青海省人民政府办公厅转发省财政厅等部门关于...(FBM-CLI.12.1212305).txt,0,1,1,1,1,1,1,1,1,LinearSVC
47,青海省人民政府办公厅印发关于进一步激发民间...(FBM-CLI.14.1447352).txt,0,1,1,1,1,1,0,1,1,LinearSVC
49,青海省发展和改革委员会、青海省财政厅关于印...(FBM-CLI.12.8785009).txt,1,1,1,1,1,1,1,0,1,LinearSVC
54,陕西省人民政府办公厅关于在公共服务领域推广...(FBM-CLI.12.1112397).txt,1,1,1,1,1,1,1,1,1,LinearSVC
60,西安市人民政府办公厅关于印发西安市公共停车...(FBM-CLI.14.1211658).txt,0,1,1,1,1,1,1,0,0,LinearSVC
71,陕西省交通运输厅关于印发《陕西省高速公路P...(FBM-CLI.12.4936448).txt,1,1,1,1,1,1,1,1,1,LinearSVC
72,陕西省交通运输厅关于转发《收费公路政府和社...(FBM-CLI.14.9137287).txt,0,1,1,1,1,1,1,0,1,LinearSVC
75,重庆市发展和改革委员会关于印发重庆市规范推...(FBM-CLI.14.7834942).txt,1,1,1,1,1,1,1,0,1,LinearSVC
80,盘锦市人民政府关于推广运用政府和社会资本合...(FBM-CLI.12.1152974).txt,1,1,1,1,1,1,1,1,0,LinearSVC
114,辽宁省财政厅关于印发辽宁省普惠金融发展专项...(FBM-CLI.12.1435498).txt,1,1,1,1,1,1,1,0,0,LinearSVC
122,朝阳市人民政府办公室关于印发朝阳市实施政府...(FBM-CLI.14.1462013).txt,1,1,1,1,1,1,1,1,0,LinearSVC
